Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get JSONPlaceholder,3000,2642,0,35269,2947.64,63.367%,84.16092,202.53,16.93,2464.2
POST JSONPlaceholder,3000,976,0,2575,394.04,0.533%,84.66445,88.68,16.21,1072.6
PUT JSONPlaceholder,3000,880,0,4736,442.18,0.867%,85.48713,78.94,16.45,945.6
PATCH JSONPlaceholder,3000,854,0,4780,364.53,1.933%,86.69769,104.07,16.85,1229.1
DELETE JSONPlaceholder,3000,748,0,2701,375.28,2.233%,88.74689,81.04,17.33,935.1
TOTAL,15000,1220,0,35269,1540.70,13.787%,411.78247,534.57,80.26,1329.3
