Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get JSONPlaceholder,12156,848,0,8356,1275.39,18.625%,413.41314,995.08,83.10,2464.7
POST JSONPlaceholder,12156,1247,0,10750,811.06,12.134%,453.15937,475.73,86.74,1075.0
PUT JSONPlaceholder,12156,1473,0,8998,917.07,22.326%,459.58412,424.93,88.42,946.8
PATCH JSONPlaceholder,12156,1268,0,9011,682.61,7.889%,465.23020,558.30,90.41,1228.9
DELETE JSONPlaceholder,12156,1279,0,9655,752.70,10.020%,474.63980,433.37,92.70,935.0
TOTAL,60780,1223,0,10750,934.54,14.199%,2016.05413,2618.65,392.91,1330.1
